Avail_Sol,Avail_Wind_On,Avail_Wind_Off
0.002784323,0.733751904,0.862378923
7.46E-07,0.761857914,0.855528376
0,0.784009722,0.8448033
0,0.798559506,0.853143368
0,0.811814824,0.846889235
0,0.828444546,0.836699974
0,0.843368406,0.834926014
0,0.836288671,0.834173197
0,0.846888329,0.823842284
0,0.856416957,0.821319267
0,0.869642422,0.82160958
0,0.878286258,0.816455742
0,0.87766781,0.817966216
0,0.872020867,0.817155832
0,0.864289959,0.837400757
0,0.860911553,0.84588212
0,0.861158635,0.852958421
0,0.860741313,0.874043219
0.000596004,0.858444015,0.889779561
0.00885233,0.858086074,0.915683348
0.02307965,0.859698768,0.920473022
0.027006248,0.859809037,0.924012177
0.023048567,0.861838018,0.926890262
0.010542233,0.862715593,0.926905466
0.001318615,0.865802048,0.927754825
5.27E-07,0.866991397,0.924017302
0,0.864663858,0.927098162
0,0.859453718,0.926100358
0,0.854305149,0.924525872
0,0.850273298,0.921176724
0,0.845420792,0.907610108
0,0.84228002,0.898965413
0,0.830985054,0.891155016
0,0.813662355,0.876152658
0,0.79396118,0.855367907
0,0.770071519,0.818461905
0,0.744288148,0.798037767
0,0.722200938,0.792734455
0,0.700732475,0.78700807
0,0.680135838,0.792156627
0,0.661913725,0.796809556
0,0.642222804,0.800764372
0.00084365,0.621836903,0.805532339
0.010940285,0.603526221,0.771630504
0.026735854,0.60044786,0.781422383
0.035392455,0.598156974,0.812717204
0.029470409,0.58591172,0.821379918
0.022157344,0.573774348,0.822464205
0.00490968,0.562427707,0.8325149
5.24E-06,0.547202831,0.839679251
0,0.541695592,0.836162397
0,0.535966133,0.829024903
0,0.530414919,0.828770574
0,0.524805429,0.833773924
0,0.517092691,0.834779582
0,0.515720111,0.811893065
0,0.507899868,0.805449052
0,0.500846569,0.800373234
0,0.485555501,0.785068809
0,0.474808069,0.772042215
0,0.465297423,0.767308467
0,0.456551875,0.760598468
0,0.447061226,0.751780143
0,0.435779753,0.745136053
0,0.429044626,0.739757748
0,0.425004071,0.734314922
0.001526548,0.417736778,0.729992399
0.02633136,0.415024897,0.726845683
0.059447012,0.417279541,0.724617231
0.076327887,0.423482717,0.719985171
0.07205565,0.427357095,0.715164855
0.044659019,0.437718514,0.718416432
0.008371872,0.440496569,0.71715758
1.25E-05,0.442112958,0.715576963
0,0.446095453,0.712791752
0,0.441355849,0.714055337
0,0.437904419,0.722766575
0,0.441435492,0.732626584
0,0.441311395,0.729605282
0,0.436295452,0.713047655
0,0.444341726,0.718554117
0,0.462109696,0.719582951
0,0.480400524,0.725582435
0,0.486561928,0.734988838
0,0.495737175,0.741314715
0,0.503300783,0.742057006
0,0.510723646,0.741097362
0,0.518262204,0.746264285
0,0.517487898,0.75358631
0,0.51529962,0.761657432
0.002094012,0.509404423,0.762449546
0.047017423,0.511512033,0.740587652
0.111281327,0.495081533,0.752474974
0.133846535,0.473249992,0.758808913
0.105318983,0.457044971,0.756999298
0.041627903,0.448449521,0.7604247
0.005664336,0.448442418,0.772477544
1.83E-05,0.448656965,0.776785572
0,0.439422168,0.788537662
0,0.426458101,0.803938837
0,0.416592946,0.807124259
0,0.407096309,0.813650921
0,0.396198253,0.819874475
0,0.3899996,0.796645059
0,0.391365829,0.798440557
0,0.395782288,0.810101199
0,0.386802857,0.805966313
0,0.378699457,0.794012534
0,0.373276027,0.77247532
0,0.374006814,0.763280857
0,0.372815089,0.75005553
0,0.373170355,0.746660227
0,0.378385904,0.752584824
2.06E-08,0.382745835,0.761000477
0.001993959,0.39206116,0.766585946
0.027388808,0.382444553,0.728303688
0.061465215,0.379601484,0.720207757
0.073091689,0.373902673,0.705332254
0.049772837,0.367431763,0.693316685
0.021717783,0.364333145,0.676738346
0.004291315,0.371462903,0.668207723
2.85E-05,0.379063654,0.659666327
0,0.377767715,0.641454299
0,0.377228891,0.647947783
0,0.380102896,0.655960047
0,0.387925132,0.662964802
0,0.391978482,0.664491108
0,0.3879442,0.624139706
0,0.397824996,0.635042481
0,0.398577663,0.615809487
0,0.401989762,0.596858056
0,0.404769988,0.573295428
0,0.403639897,0.570804436
0,0.402495189,0.570723392
0,0.403344923,0.562173975
0,0.406199633,0.559419121
0,0.404753222,0.560401742
6.27E-08,0.408756671,0.570208451
0.001900622,0.407844669,0.568157636
0.017111037,0.405399645,0.489555664
0.034519201,0.38334991,0.462740353
0.04304721,0.369701239,0.427586311
0.033307481,0.344864487,0.381663548
0.016121977,0.333825083,0.374289882
